# column 0 is pixels, column 1 is signal
2.580000000000000000e+02,1.863194444444446773e+01
2.590000000000000000e+02,1.903784722222222570e+01
2.600000000000000000e+02,1.927465277777777430e+01
2.610000000000000000e+02,1.931527777777775157e+01
2.620000000000000000e+02,1.916597222222219798e+01
2.630000000000000000e+02,1.891319444444442155e+01
2.640000000000000000e+02,1.893958333333333854e+01
2.650000000000000000e+02,1.880034722222224630e+01
2.660000000000000000e+02,1.827465277777779207e+01
2.670000000000000000e+02,1.852083333333333570e+01
2.680000000000000000e+02,1.847777777777779562e+01
2.690000000000000000e+02,1.908090277777779420e+01
2.700000000000000000e+02,1.891840277777778212e+01
2.710000000000000000e+02,1.923645833333334210e+01
2.720000000000000000e+02,1.852430555555557490e+01
2.730000000000000000e+02,1.906354166666666217e+01
2.740000000000000000e+02,1.858402777777781623e+01
2.750000000000000000e+02,1.855069444444448123e+01
2.760000000000000000e+02,1.940069444444444358e+01
2.770000000000000000e+02,1.927986111111111356e+01
2.780000000000000000e+02,1.996944444444443434e+01
2.790000000000000000e+02,1.948333333333333428e+01
2.800000000000000000e+02,1.957048611111112280e+01
2.810000000000000000e+02,1.878333333333332433e+01
2.820000000000000000e+02,1.885972222222224204e+01
2.830000000000000000e+02,1.866736111111112351e+01
2.840000000000000000e+02,1.867812499999998721e+01
2.850000000000000000e+02,1.856909722222223635e+01
2.860000000000000000e+02,1.838645833333336199e+01
2.870000000000000000e+02,1.951979166666669485e+01
2.880000000000000000e+02,1.948090277777779278e+01
2.890000000000000000e+02,2.035659722222222712e+01
2.900000000000000000e+02,1.978506944444443860e+01
2.910000000000000000e+02,1.941666666666666075e+01
2.920000000000000000e+02,1.943923611111110361e+01
2.930000000000000000e+02,1.912395833333333428e+01
2.940000000000000000e+02,1.976944444444445281e+01
2.950000000000000000e+02,2.003020833333334139e+01
2.960000000000000000e+02,2.003958333333333286e+01
2.970000000000000000e+02,1.991909722222220935e+01
2.980000000000000000e+02,1.918819444444443079e+01
2.990000000000000000e+02,1.929340277777776791e+01
3.000000000000000000e+02,1.926284722222224843e+01
3.010000000000000000e+02,1.844791666666666785e+01
3.020000000000000000e+02,1.934618055555556992e+01
3.030000000000000000e+02,1.856944444444444642e+01
3.040000000000000000e+02,2.013506944444445423e+01
3.050000000000000000e+02,1.959722222222223920e+01
3.060000000000000000e+02,1.983576388888888076e+01
3.070000000000000000e+02,1.962118055555557916e+01
3.080000000000000000e+02,1.906006944444443008e+01
3.090000000000000000e+02,1.931701388888887294e+01
3.100000000000000000e+02,1.931527777777779775e+01
3.110000000000000000e+02,1.948819444444445637e+01
3.120000000000000000e+02,1.927708333333334068e+01
3.130000000000000000e+02,1.913090277777777359e+01
3.140000000000000000e+02,1.821284722222223706e+01
3.150000000000000000e+02,1.797743055555558556e+01
3.160000000000000000e+02,1.742152777777777573e+01
3.170000000000000000e+02,1.713784722222222001e+01
3.180000000000000000e+02,1.767951388888888786e+01
3.190000000000000000e+02,1.831354166666666927e+01
3.200000000000000000e+02,1.935138888888889142e+01
3.210000000000000000e+02,1.905486111111110858e+01
3.220000000000000000e+02,1.975937499999998792e+01
3.230000000000000000e+02,1.922604166666667780e+01
3.240000000000000000e+02,1.924305555555556069e+01
3.250000000000000000e+02,1.994444444444444997e+01
3.260000000000000000e+02,1.960868055555557277e+01
3.270000000000000000e+02,1.949791666666667211e+01
