# column 0 is pixels, column 1 is signal
5.400000000000000000e+01,2.290243055555554719e+01
5.500000000000000000e+01,2.216805555555554719e+01
5.600000000000000000e+01,2.150034722222222427e+01
5.700000000000000000e+01,2.126562500000001421e+01
5.800000000000000000e+01,2.112222222222222356e+01
5.900000000000000000e+01,2.030763888888889568e+01
6.000000000000000000e+01,2.108368055555557063e+01
6.100000000000000000e+01,2.015069444444443292e+01
6.200000000000000000e+01,2.124687499999996732e+01
6.300000000000000000e+01,1.995208333333330586e+01
6.400000000000000000e+01,2.195868055555558129e+01
6.500000000000000000e+01,2.087430555555556566e+01
6.600000000000000000e+01,2.231979166666669201e+01
6.700000000000000000e+01,2.110347222222221575e+01
6.800000000000000000e+01,2.050763888888887010e+01
6.900000000000000000e+01,1.976249999999997442e+01
7.000000000000000000e+01,2.094201388888889781e+01
7.100000000000000000e+01,2.017083333333333783e+01
7.200000000000000000e+01,2.122499999999997655e+01
7.300000000000000000e+01,2.063194444444443221e+01
7.400000000000000000e+01,2.113368055555557845e+01
7.500000000000000000e+01,2.124930555555555500e+01
7.600000000000000000e+01,2.192986111111111569e+01
7.700000000000000000e+01,2.150833333333331865e+01
7.800000000000000000e+01,2.349340277777777786e+01
7.900000000000000000e+01,2.269201388888889070e+01
8.000000000000000000e+01,2.292118055555554790e+01
8.100000000000000000e+01,2.198020833333331581e+01
8.200000000000000000e+01,2.103333333333334565e+01
8.300000000000000000e+01,2.045659722222223920e+01
8.400000000000000000e+01,2.109340277777776507e+01
8.500000000000000000e+01,2.052534722222222996e+01
8.600000000000000000e+01,2.078402777777779420e+01
8.700000000000000000e+01,2.057222222222220864e+01
8.800000000000000000e+01,2.012638888888886157e+01
8.900000000000000000e+01,1.936701388888889497e+01
9.000000000000000000e+01,1.988159722222223280e+01
9.100000000000000000e+01,1.949131944444443576e+01
9.200000000000000000e+01,2.089513888888885873e+01
9.300000000000000000e+01,2.074097222222221859e+01
9.400000000000000000e+01,2.202500000000003411e+01
9.500000000000000000e+01,2.133298611111112919e+01
9.600000000000000000e+01,2.161354166666666643e+01
9.700000000000000000e+01,2.113437499999999858e+01
9.800000000000000000e+01,2.180659722222221575e+01
9.900000000000000000e+01,2.104375000000000284e+01
1.000000000000000000e+02,2.122847222222221575e+01
1.010000000000000000e+02,2.057986111111110006e+01
1.020000000000000000e+02,2.061388888888890492e+01
1.030000000000000000e+02,2.065868055555555927e+01
1.040000000000000000e+02,2.076805555555556282e+01
1.050000000000000000e+02,2.072986111111112706e+01
1.060000000000000000e+02,2.212916666666666998e+01
1.070000000000000000e+02,2.081944444444441444e+01
1.080000000000000000e+02,2.186180555555555571e+01
1.090000000000000000e+02,2.012361111111111001e+01
1.100000000000000000e+02,2.128541666666665577e+01
